gl-lock: display acquired by 'bob' — timeout -k 5 900 env DISPLAY=:0 TRACK=watglen JM_SMOKE=1 JM_SMOKE_FRAMES=420 JM_OFFTRACK_PROBE=2386:30:190:40:35 JM_OFFTRACK_FRAMES=420 JM_OFFTRACK_EXIT=1 JM_NO_AUTOEXIT=1 julia --project=/home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native /home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native/drive_native_mtk.jl
  JM_OFFTRACK_PROBE: car placed at s=2386 lat=30.0 m, heading 40.0 deg off the line, 190.0 km/h (x=2.0 z=-255.7 ground=23.97)
  [offtrack] t=1.384 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.401 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.418 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.436 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.453 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.47 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.487 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.504 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.522 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=1.539 v=0.0 x=-13.42 z=-253.96 y=23.866 heave=-0.0 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=0.0 cF=(0.0,0.0) off=9.7 nl=7.73
